GOTO_P1	GOTO_P2	GOTO_P3	GOTO_P4	SCRIPTED_PATH	APPROACH_AND_CATCH	APPROACH_INVERT	CATCHING	PLAYER_NOT_IN_RANGE	ACTION
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
true	false	false	false	false	false	false	false	false	GOTO_P1
